sample_index,ros_time_sec,elapsed_sec,joint_state_valid,joint_state_stamp_sec,joint_state_age_sec,joint_state_observed_count,joint__waist_yaw_joint,joint__waist_yaw_joint__observed,joint__waist_roll_joint,joint__waist_roll_joint__observed,joint__waist_pitch_joint,joint__waist_pitch_joint__observed,joint__left_shoulder_pitch_joint,joint__left_shoulder_pitch_joint__observed,joint__left_shoulder_roll_joint,joint__left_shoulder_roll_joint__observed,joint__left_shoulder_yaw_joint,joint__left_shoulder_yaw_joint__observed,joint__left_elbow_joint,joint__left_elbow_joint__observed,joint__right_shoulder_pitch_joint,joint__right_shoulder_pitch_joint__observed,joint__right_shoulder_roll_joint,joint__right_shoulder_roll_joint__observed,joint__right_shoulder_yaw_joint,joint__right_shoulder_yaw_joint__observed,joint__right_elbow_joint,joint__right_elbow_joint__observed,joint__left_hip_pitch_joint,joint__left_hip_pitch_joint__observed,joint__left_hip_roll_joint,joint__left_hip_roll_joint__observed,joint__left_hip_yaw_joint,joint__left_hip_yaw_joint__observed,joint__right_hip_pitch_joint,joint__right_hip_pitch_joint__observed,joint__right_hip_roll_joint,joint__right_hip_roll_joint__observed,joint__right_hip_yaw_joint,joint__right_hip_yaw_joint__observed,human_valid,human_stamp_sec,human_age_sec,human_source_frame,human_frame_id,human_received_count,human_used_count,human_00_present,human_00_fresh,human_00_name,human_00_a_x_m,human_00_a_y_m,human_00_a_z_m,human_00_b_x_m,human_00_b_y_m,human_00_b_z_m,human_00_radius_m,human_01_present,human_01_fresh,human_01_name,human_01_a_x_m,human_01_a_y_m,human_01_a_z_m,human_01_b_x_m,human_01_b_y_m,human_01_b_z_m,human_01_radius_m,human_02_present,human_02_fresh,human_02_name,human_02_a_x_m,human_02_a_y_m,human_02_a_z_m,human_02_b_x_m,human_02_b_y_m,human_02_b_z_m,human_02_radius_m,human_03_present,human_03_fresh,human_03_name,human_03_a_x_m,human_03_a_y_m,human_03_a_z_m,human_03_b_x_m,human_03_b_y_m,human_03_b_z_m,human_03_radius_m,human_04_present,human_04_fresh,human_04_name,human_04_a_x_m,human_04_a_y_m,human_04_a_z_m,human_04_b_x_m,human_04_b_y_m,human_04_b_z_m,human_04_radius_m,human_05_present,human_05_fresh,human_05_name,human_05_a_x_m,human_05_a_y_m,human_05_a_z_m,human_05_b_x_m,human_05_b_y_m,human_05_b_z_m,human_05_radius_m,human_06_present,human_06_fresh,human_06_name,human_06_a_x_m,human_06_a_y_m,human_06_a_z_m,human_06_b_x_m,human_06_b_y_m,human_06_b_z_m,human_06_radius_m,human_07_present,human_07_fresh,human_07_name,human_07_a_x_m,human_07_a_y_m,human_07_a_z_m,human_07_b_x_m,human_07_b_y_m,human_07_b_z_m,human_07_radius_m,human_08_present,human_08_fresh,human_08_name,human_08_a_x_m,human_08_a_y_m,human_08_a_z_m,human_08_b_x_m,human_08_b_y_m,human_08_b_z_m,human_08_radius_m,human_09_present,human_09_fresh,human_09_name,human_09_a_x_m,human_09_a_y_m,human_09_a_z_m,human_09_b_x_m,human_09_b_y_m,human_09_b_z_m,human_09_radius_m,human_10_present,human_10_fresh,human_10_name,human_10_a_x_m,human_10_a_y_m,human_10_a_z_m,human_10_b_x_m,human_10_b_y_m,human_10_b_z_m,human_10_radius_m,odom_valid,odom_stamp_sec,odom_age_sec,odom_frame_id,odom_child_frame_id,odom_x_m,odom_y_m,cbf_enabled,external_enabled,workspace_valid,workspace_stamp_sec,workspace_age_sec,workspace_frame_id,workspace_child_frame_id,workspace_enabled,workspace_capture_pending,workspace_generation,workspace_center_x_m,workspace_center_y_m,workspace_center_z_m,workspace_qx,workspace_qy,workspace_qz,workspace_qw,workspace_radius_m,workspace_activation_valid,workspace_activation_generation,workspace_activation_stamp_sec,workspace_activation_center_x_m,workspace_activation_center_y_m,tf_valid,tf_stamp_sec,tf_age_sec,tf_world_frame,tf_pelvis_frame,tf_world_pelvis_tx_m,tf_world_pelvis_ty_m,tf_world_pelvis_tz_m,tf_world_pelvis_qx,tf_world_pelvis_qy,tf_world_pelvis_qz,tf_world_pelvis_qw,collision_geometry,internal_margin_phi_m,external_margin_phi_m,external_torso_margin_phi_m,human_timeout_sec,tf_stale_timeout_sec
0,1784923975.323285,0.10400756634771824,1,1784923975.322341,0.0009441375732421875,17,-0.0025980276986956596,1,-0.01468731090426445,1,-0.047621238976716995,1,0.37390783429145813,1,0.47361844778060913,1,-0.04386226460337639,1,0.8330474495887756,1,0.31359121203422546,1,-0.5146164894104004,1,0.05005810782313347,1,1.0030436515808105,1,-0.15247111022472382,1,-0.04486212134361267,1,0.04201037809252739,1,-0.07209295779466629,1,-0.026999766007065773,1,-0.008610745891928673,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784923975.245275,0.07801008224487305,world,pelvis,4.555682874175129,-1.640910904290314,1,0,1,1784923961.1971903,14.126094818115234,world,workspace,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0,,,,,1,1784923975.245275,0.07801008224487305,world,pelvis,4.555682874175129,-1.640910904290314,0.6927127171495445,0.009838629323008214,-0.009658413245097969,0.9855143820857059,-0.16903052720991155,capsules,0.05,0.5,0.1,0.5,0.5
1,1784923975.423344,0.20406357385218143,1,1784923975.423018,0.00032591819763183594,17,-0.002276622224599123,1,-0.015303128398954868,1,-0.047343723475933075,1,0.3739677369594574,1,0.4737023711204529,1,-0.04370646923780441,1,0.8331074118614197,1,0.3119373917579651,1,-0.5144487023353577,1,0.05042961984872818,1,1.0023726224899292,1,-0.14414136111736298,1,-0.04432522505521774,1,0.04334956780076027,1,-0.07221348583698273,1,-0.02560213953256607,1,-0.00696354266256094,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784923975.374852,0.0484919548034668,world,pelvis,4.557983371222943,-1.658962042785609,1,0,1,1784923961.1971903,14.22615361213684,world,workspace,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0,,,,,1,1784923975.374852,0.0484919548034668,world,pelvis,4.557983371222943,-1.658962042785609,0.6837055357723978,0.010357186716895837,-0.007016741543133751,0.9851310092247647,-0.17134873412203805,capsules,0.05,0.5,0.1,0.5,0.5
2,1784923975.5232854,0.3040048535913229,1,1784923975.5227618,0.0005235671997070312,17,-0.002464108867570758,1,-0.014863543212413788,1,-0.04919356107711792,1,0.374519020318985,1,0.47358250617980957,1,-0.04440155625343323,1,0.8334668874740601,1,0.3137829601764679,1,-0.5150719285011292,1,0.049566756933927536,1,1.0033313035964966,1,-0.14602960646152496,1,-0.0437031127512455,1,0.04115329682826996,1,-0.07257506251335144,1,-0.02374431863427162,1,-0.007217988837510347,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784923975.4505692,0.07271623611450195,world,pelvis,4.554362398367516,-1.657217299955053,1,0,1,1784923961.1971903,14.32609510421753,world,workspace,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0,,,,,1,1784923975.4505694,0.07271599769592285,world,pelvis,4.554362398367516,-1.657217299955053,0.6899734486698204,0.011772535010328985,-0.007432013219200614,0.9854024061730472,-0.1696710656161183,capsules,0.05,0.5,0.1,0.5,0.5
3,1784923975.623252,0.40397177170962095,1,1784923975.62257,0.0006818771362304688,17,-0.0027855143416672945,1,-0.01428475696593523,1,-0.04827730357646942,1,0.37432727217674255,1,0.4737023711204529,1,-0.04392218589782715,1,0.8330234885215759,1,0.3136511445045471,1,-0.5149041414260864,1,0.05013001337647438,1,1.0031036138534546,1,-0.1475696861743927,1,-0.04400990903377533,1,0.044474486261606216,1,-0.07278933376073837,1,-0.02546578459441662,1,-0.009936543181538582,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784923975.5005229,0.12272906303405762,world,pelvis,4.552132557385412,-1.6586032697572586,1,0,1,1784923961.1971903,14.426061630249023,world,workspace,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0,,,,,1,1784923975.5005229,0.12272906303405762,world,pelvis,4.552132557385412,-1.6586032697572586,0.6910722185269584,0.01213396922003701,-0.007402848599894817,0.9854951257493366,-0.16910742664907832,capsules,0.05,0.5,0.1,0.5,0.5
4,1784923975.7232482,0.5039657410234213,1,1784923975.7221816,0.0010666847229003906,17,-0.002758730435743928,1,-0.015219560824334621,1,-0.04745706170797348,1,0.3748186230659485,1,0.47403788566589355,1,-0.04351472109556198,1,0.8336226940155029,1,0.31379494071006775,1,-0.5148441791534424,1,0.05014199763536453,1,1.003211498260498,1,-0.1425745040178299,1,-0.044333748519420624,1,0.03945252299308777,1,-0.07241436094045639,1,-0.024835148826241493,1,-0.004847623407840729,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784923975.6712909,0.05195736885070801,world,pelvis,4.544147784945724,-1.6746877971381553,1,0,1,1784923961.1971903,14.526057958602905,world,workspace,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0,,,,,1,1784923975.6712909,0.05195736885070801,world,pelvis,4.544147784945724,-1.6746877971381553,0.6878434420324139,0.011896429128111112,-0.0078089990687590346,0.9852456383988638,-0.17055358842181947,capsules,0.05,0.5,0.1,0.5,0.5
5,1784923975.8232667,0.6039873734116554,1,1784923975.822901,0.0003657341003417969,17,-0.0025712440256029367,1,-0.018277127295732498,1,-0.04792022705078125,1,0.37379997968673706,1,0.4740259051322937,1,-0.043838296085596085,1,0.8330833911895752,1,0.31264448165893555,1,-0.5148801803588867,1,0.050094060599803925,1,1.0030317306518555,1,-0.1423468440771103,1,-0.04345596954226494,1,0.041622012853622437,1,-0.07348570972681046,1,-0.02524420991539955,1,-0.008624138310551643,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784923975.7276247,0.09564208984375,world,pelvis,4.541382521712351,-1.6678700064061043,1,0,1,1784923961.1971903,14.626076459884644,world,workspace,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0,,,,,1,1784923975.727625,0.0956418514251709,world,pelvis,4.541382521712351,-1.6678700064061043,0.6928077821905759,0.009538272613076104,-0.008185546017557277,0.9848953128580853,-0.17269406736227932,capsules,0.05,0.5,0.1,0.5,0.5
6,1784923975.9233284,0.7040520366281271,1,1784923975.9226878,0.0006406307220458984,17,-0.002731946762651205,1,-0.019082825630903244,1,-0.047561727464199066,1,0.37372806668281555,1,0.4739779829978943,1,-0.04385028034448624,1,0.8331074118614197,1,0.31234484910964966,1,-0.5148801803588867,1,0.05013001337647438,1,1.0028998851776123,1,-0.14336462318897247,1,-0.04351562634110451,1,0.04336295649409294,1,-0.07013773918151855,1,-0.024051114916801453,1,-0.008945543318986893,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784923975.8891487,0.0341796875,world,pelvis,4.547301485137541,-1.6664957722669982,1,0,1,1784923961.1971903,14.7261381149292,world,workspace,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0,,,,,1,1784923975.8891487,0.0341796875,world,pelvis,4.547301485137541,-1.6664957722669982,0.687786815180354,0.009676371996433512,-0.005767806823581857,0.9847973499829751,-0.17334151175048088,capsules,0.05,0.5,0.1,0.5,0.5
7,1784923976.0232472,0.803964720107615,1,1784923976.0224662,0.0007810592651367188,17,-0.002691771136596799,1,-0.01887771487236023,1,-0.04776272177696228,1,0.3740876019001007,1,0.47406190633773804,1,-0.0442337766289711,1,0.8331792950630188,1,0.3126804232597351,1,-0.5151318311691284,1,0.05001017078757286,1,1.0031754970550537,1,-0.15363620221614838,1,-0.0434730164706707,1,0.041595228016376495,1,-0.06985650956630707,1,-0.0249459370970726,1,-0.008088462054729462,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784923975.955746,0.06750130653381348,world,pelvis,4.552100023355572,-1.6694639640030504,1,0,1,1784923961.1971903,14.826056957244873,world,workspace,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0,,,,,1,1784923975.9557462,0.06750106811523438,world,pelvis,4.552100023355572,-1.6694639640030504,0.6822176787362878,0.010687359792632137,-0.004072673860770537,0.9846461128647837,-0.17418733044787843,capsules,0.05,0.5,0.1,0.5,0.5
8,1784923976.1232567,0.9039768576622009,1,1784923976.1222343,0.0010223388671875,17,-0.002691771136596799,1,-0.01842929609119892,1,-0.048000939190387726,1,0.37382394075393677,1,0.4740978479385376,1,-0.04392218589782715,1,0.8332152366638184,1,0.31250065565109253,1,-0.5150359272956848,1,0.05023787170648575,1,1.002923846244812,1,-0.15131941437721252,1,-0.044998474419116974,1,0.04352366179227829,1,-0.0661737397313118,1,-0.025150466710329056,1,-0.008168812841176987,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784923976.0738876,0.049369096755981445,world,pelvis,4.54448846187165,-1.6769784624051622,1,0,1,1784923961.1971903,14.926066398620605,world,workspace,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0,,,,,1,1784923976.0738878,0.049368858337402344,world,pelvis,4.54448846187165,-1.6769784624051622,0.6847069430322796,0.009457836585174462,-0.00408232830827765,0.9841410624518954,-0.17708826363925512,capsules,0.05,0.5,0.1,0.5,0.5
9,1784923976.223341,1.0040616327896714,1,1784923976.2229307,0.00041031837463378906,17,-0.0024908925406634808,1,-0.01954812929034233,1,-0.048909593373537064,1,0.37409958243370056,1,0.4742416739463806,1,-0.04344281554222107,1,0.8335148692131042,1,0.31271636486053467,1,-0.5148082375526428,1,0.050465572625398636,1,1.0028759241104126,1,-0.14277538657188416,1,-0.04472576454281807,1,0.043604012578725815,1,-0.07436957955360413,1,-0.025627706199884415,1,-0.006119853351265192,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784923976.1852353,0.03810572624206543,world,pelvis,4.5505335804258955,-1.6738001488132166,1,0,1,1784923961.1971903,15.026150703430176,world,workspace,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0,,,,,1,1784923976.1852353,0.03810572624206543,world,pelvis,4.5505335804258955,-1.6738001488132166,0.6807674895105688,0.010313473608615337,-0.002834560056268031,0.9836511114401788,-0.17976676137126354,capsules,0.05,0.5,0.1,0.5,0.5
