sample_index,ros_time_sec,elapsed_sec,joint_state_valid,joint_state_stamp_sec,joint_state_age_sec,joint_state_observed_count,joint__waist_yaw_joint,joint__waist_yaw_joint__observed,joint__waist_roll_joint,joint__waist_roll_joint__observed,joint__waist_pitch_joint,joint__waist_pitch_joint__observed,joint__left_shoulder_pitch_joint,joint__left_shoulder_pitch_joint__observed,joint__left_shoulder_roll_joint,joint__left_shoulder_roll_joint__observed,joint__left_shoulder_yaw_joint,joint__left_shoulder_yaw_joint__observed,joint__left_elbow_joint,joint__left_elbow_joint__observed,joint__right_shoulder_pitch_joint,joint__right_shoulder_pitch_joint__observed,joint__right_shoulder_roll_joint,joint__right_shoulder_roll_joint__observed,joint__right_shoulder_yaw_joint,joint__right_shoulder_yaw_joint__observed,joint__right_elbow_joint,joint__right_elbow_joint__observed,joint__left_hip_pitch_joint,joint__left_hip_pitch_joint__observed,joint__left_hip_roll_joint,joint__left_hip_roll_joint__observed,joint__left_hip_yaw_joint,joint__left_hip_yaw_joint__observed,joint__right_hip_pitch_joint,joint__right_hip_pitch_joint__observed,joint__right_hip_roll_joint,joint__right_hip_roll_joint__observed,joint__right_hip_yaw_joint,joint__right_hip_yaw_joint__observed,human_valid,human_stamp_sec,human_age_sec,human_source_frame,human_frame_id,human_received_count,human_used_count,human_00_present,human_00_fresh,human_00_name,human_00_a_x_m,human_00_a_y_m,human_00_a_z_m,human_00_b_x_m,human_00_b_y_m,human_00_b_z_m,human_00_radius_m,human_01_present,human_01_fresh,human_01_name,human_01_a_x_m,human_01_a_y_m,human_01_a_z_m,human_01_b_x_m,human_01_b_y_m,human_01_b_z_m,human_01_radius_m,human_02_present,human_02_fresh,human_02_name,human_02_a_x_m,human_02_a_y_m,human_02_a_z_m,human_02_b_x_m,human_02_b_y_m,human_02_b_z_m,human_02_radius_m,human_03_present,human_03_fresh,human_03_name,human_03_a_x_m,human_03_a_y_m,human_03_a_z_m,human_03_b_x_m,human_03_b_y_m,human_03_b_z_m,human_03_radius_m,human_04_present,human_04_fresh,human_04_name,human_04_a_x_m,human_04_a_y_m,human_04_a_z_m,human_04_b_x_m,human_04_b_y_m,human_04_b_z_m,human_04_radius_m,human_05_present,human_05_fresh,human_05_name,human_05_a_x_m,human_05_a_y_m,human_05_a_z_m,human_05_b_x_m,human_05_b_y_m,human_05_b_z_m,human_05_radius_m,human_06_present,human_06_fresh,human_06_name,human_06_a_x_m,human_06_a_y_m,human_06_a_z_m,human_06_b_x_m,human_06_b_y_m,human_06_b_z_m,human_06_radius_m,human_07_present,human_07_fresh,human_07_name,human_07_a_x_m,human_07_a_y_m,human_07_a_z_m,human_07_b_x_m,human_07_b_y_m,human_07_b_z_m,human_07_radius_m,human_08_present,human_08_fresh,human_08_name,human_08_a_x_m,human_08_a_y_m,human_08_a_z_m,human_08_b_x_m,human_08_b_y_m,human_08_b_z_m,human_08_radius_m,human_09_present,human_09_fresh,human_09_name,human_09_a_x_m,human_09_a_y_m,human_09_a_z_m,human_09_b_x_m,human_09_b_y_m,human_09_b_z_m,human_09_radius_m,human_10_present,human_10_fresh,human_10_name,human_10_a_x_m,human_10_a_y_m,human_10_a_z_m,human_10_b_x_m,human_10_b_y_m,human_10_b_z_m,human_10_radius_m,odom_valid,odom_stamp_sec,odom_age_sec,odom_frame_id,odom_child_frame_id,odom_x_m,odom_y_m,cbf_enabled,external_enabled,workspace_valid,workspace_stamp_sec,workspace_age_sec,workspace_frame_id,workspace_child_frame_id,workspace_enabled,workspace_capture_pending,workspace_generation,workspace_center_x_m,workspace_center_y_m,workspace_center_z_m,workspace_qx,workspace_qy,workspace_qz,workspace_qw,workspace_radius_m,workspace_activation_valid,workspace_activation_generation,workspace_activation_stamp_sec,workspace_activation_frame_id,workspace_activation_child_frame_id,workspace_activation_center_x_m,workspace_activation_center_y_m,workspace_activation_qx,workspace_activation_qy,workspace_activation_qz,workspace_activation_qw,workspace_path_valid,workspace_path_stamp_sec,workspace_path_age_sec,workspace_path_frame_id,workspace_path_sequence,workspace_path_point_count,workspace_path_xy_json,tf_valid,tf_stamp_sec,tf_age_sec,tf_world_frame,tf_pelvis_frame,tf_world_pelvis_tx_m,tf_world_pelvis_ty_m,tf_world_pelvis_tz_m,tf_world_pelvis_qx,tf_world_pelvis_qy,tf_world_pelvis_qz,tf_world_pelvis_qw,collision_geometry,internal_margin_phi_m,external_margin_phi_m,external_torso_margin_phi_m,human_timeout_sec,tf_stale_timeout_sec
0,1784941094.1063561,0.10988850612193346,1,1784941094.1049109,0.0014452934265136719,17,-0.001218233141116798,1,0.0008878687513060868,1,0.00012425315799191594,1,0.3740692734718323,1,0.6195288300514221,1,4.656472356145969e-06,1,0.8201087713241577,1,0.32887861132621765,1,-0.6718928217887878,1,-2.27882537728874e-05,1,1.0100431442260742,1,-0.14466266334056854,1,0.014580871909856796,1,0.001418214407749474,1,-0.048559922724962234,1,-0.048397041857242584,1,0.008840387687087059,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784941094.1049345,0.0014216899871826172,world,base_footprint,-0.01307908893524392,0.03842363685366385,1,0,1,1784941017.4841216,76.622234582901,world,workspace,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0,,,,,,,,,,,1,1784940971.3919525,122.71440362930298,workspace,1,321,"[[0.0,0.0],[0.05,0.0],[0.1,0.0],[0.15,0.0],[0.2,0.0],[0.25,0.0],[0.3,0.0],[0.35,0.0],[0.4,0.0],[0.45,0.0],[0.5,0.0],[0.55,0.0],[0.6,0.0],[0.65,0.0],[0.7,0.0],[0.75,0.0],[0.8,0.0],[0.85,0.0],[0.9,0.0],[0.95,0.0],[1.0,0.0],[1.0,0.05],[1.0,0.1],[1.0,0.15],[1.0,0.2],[1.0,0.25],[1.0,0.3],[1.0,0.35000000000000003],[1.0,0.4],[1.0,0.44999999999999996],[1.0,0.5],[1.0,0.55],[1.0,0.6],[1.0,0.65],[1.0,0.7000000000000001],[1.0,0.75],[1.0,0.8],[1.0,0.8500000000000001],[1.0,0.8999999999999999],[1.0,0.95],[1.0,1.0],[1.0,1.05],[1.0,1.1],[1.0,1.1500000000000001],[1.0,1.2],[1.0,1.25],[1.0,1.3],[1.0,1.35],[1.0,1.4000000000000001],[1.0,1.45],[1.0,1.5],[1.0,1.55],[1.0,1.6],[1.0,1.6500000000000001],[1.0,1.7000000000000002],[1.0,1.75],[1.0,1.7999999999999998],[1.0,1.85],[1.0,1.9],[1.0,1.9500000000000002],[1.0,2.0],[1.0,2.05],[1.0,2.1],[1.0,2.15],[1.0,2.2],[1.0,2.25],[1.0,2.3000000000000003],[1.0,2.3499999999999996],[1.0,2.4],[1.0,2.45],[1.0,2.5],[0.95,2.5],[0.9,2.5],[0.85,2.5],[0.8,2.5],[0.75,2.5],[0.7,2.5],[0.65,2.5],[0.6,2.5],[0.55,2.5],[0.5,2.5],[0.44999999999999996,2.5],[0.4,2.5],[0.35,2.5],[0.30000000000000004,2.5],[0.25,2.5],[0.19999999999999996,2.5],[0.15000000000000002,2.5],[0.09999999999999998,2.5],[0.050000000000000044,2.5],[0.0,2.5],[-0.050000000000000044,2.5],[-0.10000000000000009,2.5],[-0.1499999999999999,2.5],[-0.19999999999999996,2.5],[-0.25,2.5],[-0.30000000000000004,2.5],[-0.3500000000000001,2.5],[-0.3999999999999999,2.5],[-0.44999999999999996,2.5],[-0.5,2.5],[-0.55,2.5],[-0.6000000000000001,2.5],[-0.6499999999999999,2.5],[-0.7,2.5],[-0.75,2.5],[-0.8,2.5],[-0.8500000000000001,2.5],[-0.8999999999999999,2.5],[-0.95,2.5],[-1.0,2.5],[-1.0,2.45],[-1.0,2.4],[-1.0,2.35],[-1.0,2.3],[-1.0,2.25],[-1.0,2.2],[-1.0,2.15],[-1.0,2.1],[-1.0,2.05],[-1.0,2.0],[-1.0,1.95],[-1.0,1.9],[-1.0,1.85],[-1.0,1.7999999999999998],[-1.0,1.75],[-1.0,1.7],[-1.0,1.65],[-1.0,1.6],[-1.0,1.55],[-1.0,1.5],[-1.0,1.45],[-1.0,1.4],[-1.0,1.3499999999999999],[-1.0,1.3],[-1.0,1.25],[-1.0,1.2],[-1.0,1.15],[-1.0,1.0999999999999999],[-1.0,1.05],[-1.0,1.0],[-1.0,0.95],[-1.0,0.8999999999999999],[-1.0,0.8499999999999999],[-1.0,0.7999999999999998],[-1.0,0.75],[-1.0,0.7000000000000002],[-1.0,0.6499999999999999],[-1.0,0.6000000000000001],[-1.0,0.5499999999999998],[-1.0,0.5],[-1.0,0.4500000000000002],[-1.0,0.3999999999999999],[-1.0,0.3500000000000001],[-1.0,0.2999999999999998],[-1.0,0.25],[-1.0,0.19999999999999973],[-1.0,0.15000000000000036],[-1.0,0.10000000000000009],[-1.0,0.04999999999999982],[-1.0,0.0],[-1.0,-0.04999999999999982],[-1.0,-0.10000000000000009],[-1.0,-0.15000000000000036],[-1.0,-0.20000000000000018],[-1.0,-0.25],[-1.0,-0.30000000000000027],[-1.0,-0.34999999999999964],[-1.0,-0.3999999999999999],[-1.0,-0.44999999999999973],[-1.0,-0.5],[-1.0,-0.5499999999999998],[-1.0,-0.6000000000000001],[-1.0,-0.6499999999999999],[-1.0,-0.7000000000000002],[-1.0,-0.75],[-1.0,-0.8000000000000003],[-1.0,-0.8500000000000001],[-1.0,-0.9000000000000004],[-1.0,-0.9499999999999997],[-1.0,-1.0],[-1.0,-1.0499999999999998],[-1.0,-1.0999999999999996],[-1.0,-1.15],[-1.0,-1.2000000000000002],[-1.0,-1.25],[-1.0,-1.2999999999999998],[-1.0,-1.35],[-1.0,-1.4000000000000004],[-1.0,-1.4500000000000002],[-1.0,-1.5],[-1.0,-1.5500000000000007],[-1.0,-1.5999999999999996],[-1.0,-1.6499999999999995],[-1.0,-1.7000000000000002],[-1.0,-1.75],[-1.0,-1.7999999999999998],[-1.0,-1.8499999999999996],[-1.0,-1.9000000000000004],[-1.0,-1.9500000000000002],[-1.0,-2.0],[-1.0,-2.05],[-1.0,-2.1000000000000005],[-1.0,-2.1500000000000004],[-1.0,-2.1999999999999993],[-1.0,-2.25],[-1.0,-2.3],[-1.0,-2.3499999999999996],[-1.0,-2.4000000000000004],[-1.0,-2.45],[-1.0,-2.5],[-0.95,-2.5],[-0.9,-2.5],[-0.85,-2.5],[-0.8,-2.5],[-0.75,-2.5],[-0.7,-2.5],[-0.65,-2.5],[-0.6,-2.5],[-0.55,-2.5],[-0.5,-2.5],[-0.44999999999999996,-2.5],[-0.4,-2.5],[-0.35,-2.5],[-0.30000000000000004,-2.5],[-0.25,-2.5],[-0.19999999999999996,-2.5],[-0.15000000000000002,-2.5],[-0.09999999999999998,-2.5],[-0.050000000000000044,-2.5],[0.0,-2.5],[0.050000000000000044,-2.5],[0.10000000000000009,-2.5],[0.1499999999999999,-2.5],[0.19999999999999996,-2.5],[0.25,-2.5],[0.30000000000000004,-2.5],[0.3500000000000001,-2.5],[0.3999999999999999,-2.5],[0.44999999999999996,-2.5],[0.5,-2.5],[0.55,-2.5],[0.6000000000000001,-2.5],[0.6499999999999999,-2.5],[0.7,-2.5],[0.75,-2.5],[0.8,-2.5],[0.8500000000000001,-2.5],[0.8999999999999999,-2.5],[0.95,-2.5],[1.0,-2.5],[1.0,-2.45],[1.0,-2.4],[1.0,-2.35],[1.0,-2.3],[1.0,-2.25],[1.0,-2.2],[1.0,-2.15],[1.0,-2.1],[1.0,-2.05],[1.0,-2.0],[1.0,-1.95],[1.0,-1.9],[1.0,-1.85],[1.0,-1.7999999999999998],[1.0,-1.75],[1.0,-1.7],[1.0,-1.65],[1.0,-1.6],[1.0,-1.55],[1.0,-1.5],[1.0,-1.45],[1.0,-1.4],[1.0,-1.3499999999999999],[1.0,-1.3],[1.0,-1.25],[1.0,-1.2],[1.0,-1.15],[1.0,-1.0999999999999999],[1.0,-1.05],[1.0,-1.0],[1.0,-0.95],[1.0,-0.8999999999999999],[1.0,-0.8499999999999999],[1.0,-0.7999999999999998],[1.0,-0.75],[1.0,-0.7000000000000002],[1.0,-0.6499999999999999],[1.0,-0.6000000000000001],[1.0,-0.5499999999999998],[1.0,-0.5],[1.0,-0.4500000000000002],[1.0,-0.3999999999999999],[1.0,-0.3500000000000001],[1.0,-0.2999999999999998],[1.0,-0.25],[1.0,-0.19999999999999973],[1.0,-0.15000000000000036],[1.0,-0.10000000000000009],[1.0,-0.04999999999999982],[1.0,0.0],[0.95,0.0],[0.9,0.0],[0.85,0.0],[0.8,0.0],[0.75,0.0],[0.7,0.0],[0.65,0.0],[0.6,0.0],[0.55,0.0],[0.5,0.0],[0.44999999999999996,0.0],[0.4,0.0],[0.35,0.0],[0.30000000000000004,0.0],[0.25,0.0],[0.19999999999999996,0.0],[0.15000000000000002,0.0],[0.09999999999999998,0.0],[0.050000000000000044,0.0],[0.0,0.0]]",1,1784941094.1049345,0.0014216899871826172,world,pelvis,-0.020598853249612088,0.03457265252437552,0.7817999902574165,0.0031321825102099948,-0.004382530504763659,-0.14669589041750258,0.9891669720495694,capsules,0.05,0.5,0.1,0.5,0.5
1,1784941094.2064767,0.21000491920858622,1,1784941094.2061331,0.00034356117248535156,17,0.0008876031497493386,1,0.004627281334251165,1,0.001181132043711841,1,0.37363535165786743,1,0.6173648238182068,1,-0.0001463076041545719,1,0.8200672268867493,1,0.3283554017543793,1,-0.6726043820381165,1,-0.00015882012667134404,1,1.0101544857025146,1,-0.14065417647361755,1,0.009495455771684647,1,0.003977712709456682,1,-0.04733830690383911,1,-0.05356093868613243,1,0.011330807581543922,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784941094.2049341,0.0015425682067871094,world,base_footprint,-0.01066564472411004,0.04147287221439988,1,0,1,1784941017.4841216,76.7223551273346,world,workspace,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0,,,,,,,,,,,1,1784940971.3919525,122.81452417373657,workspace,1,321,,1,1784941094.2049344,0.0015423297882080078,world,pelvis,-0.019332674887189934,0.03674467655786903,0.7817936276260947,0.0037946756300806213,-0.005022651877537815,-0.1470701903057774,0.9891060269396815,capsules,0.05,0.5,0.1,0.5,0.5
2,1784941094.3064258,0.30995689518749714,1,1784941094.3053205,0.0011053085327148438,17,0.0007035917951725423,1,0.0017068303423002362,1,0.005623179953545332,1,0.3727067708969116,1,0.6240024566650391,1,0.00010564189869910479,1,0.8200162053108215,1,0.3257887661457062,1,-0.6657590270042419,1,1.9711602362804115e-05,1,1.0099647045135498,1,-0.14489462971687317,1,0.01212212536484003,1,0.002243492752313614,1,-0.04810214787721634,1,-0.050877563655376434,1,0.00982463825494051,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784941094.3049355,0.0014903545379638672,world,base_footprint,-0.011351444218168322,0.03969921284447646,1,0,1,1784941017.4841216,76.82230424880981,world,workspace,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0,,,,,,,,,,,1,1784940971.3919525,122.91447329521179,workspace,1,321,,1,1784941094.3049355,0.0014903545379638672,world,pelvis,-0.019806934648644133,0.03595673479996433,0.7815598795090405,0.0031513268911017,-0.004982828195108654,-0.14670492673005883,0.9891627292994473,capsules,0.05,0.5,0.1,0.5,0.5
3,1784941094.4064393,0.4099702564999461,1,1784941094.4054675,0.0009717941284179688,17,-9.220078209182248e-05,1,-0.000457566900877282,1,0.0014399363426491618,1,0.3731323182582855,1,0.6220372319221497,1,2.782982301141601e-05,1,0.8201517462730408,1,0.3273172974586487,1,-0.6677812933921814,1,2.1346495486795902e-05,1,1.0100650787353516,1,-0.14405982196331024,1,0.01004383061081171,1,0.0022261592093855143,1,-0.049621958285570145,1,-0.05292836204171181,1,0.009649060666561127,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784941094.4039347,0.002504587173461914,world,base_footprint,-0.012415369031781053,0.041247038235317564,1,0,1,1784941017.4841216,76.92231774330139,world,workspace,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0,,,,,,,,,,,1,1784940971.3919525,123.01448678970337,workspace,1,321,,1,1784941094.4049337,0.0015056133270263672,world,pelvis,-0.018924453163788026,0.0353687537293683,0.7817039759431514,0.004342273293958229,-0.003601326705432063,-0.14626558520304145,0.9892292725621362,capsules,0.05,0.5,0.1,0.5,0.5
4,1784941094.506441,0.5099720256403089,1,1784941094.5056217,0.0008194446563720703,17,6.797414971515536e-05,1,0.00021060694416519254,1,0.000840254535432905,1,0.3737390339374542,1,0.6204878687858582,1,3.2795785955386236e-05,1,0.8202885389328003,1,0.329450398683548,1,-0.668751060962677,1,-4.2454394133528695e-06,1,1.0100634098052979,1,-0.14171989262104034,1,0.01053839921951294,1,0.003931791055947542,1,-0.048533737659454346,1,-0.05274396017193794,1,0.01084170676767826,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784941094.504935,0.0015060901641845703,world,base_footprint,-0.010854975701905877,0.040913329000995216,1,0,1,1784941017.4841216,77.02231955528259,world,workspace,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0,,,,,,,,,,,1,1784940971.3919525,123.11448860168457,workspace,1,321,,1,1784941094.5049353,0.0015058517456054688,world,pelvis,-0.017786644924900986,0.03475781010273445,0.7816012946531822,0.0045309879939533955,-0.003795687628565058,-0.14678004017632693,0.9891514963386857,capsules,0.05,0.5,0.1,0.5,0.5
5,1784941094.6064615,0.6099922088906169,1,1784941094.6056607,0.0008008480072021484,17,0.0012913182144984603,1,0.0032835351303219795,1,0.007017720025032759,1,0.37133529782295227,1,0.6201848387718201,1,1.6242273659372586e-06,1,0.8201666474342346,1,0.32710978388786316,1,-0.6695532202720642,1,-2.7445481464383192e-05,1,1.010000467300415,1,-0.14195658266544342,1,0.010645315051078796,1,0.005279419478029013,1,-0.048666615039110184,1,-0.05309397727251053,1,0.01155601255595684,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784941094.6049497,0.0015118122100830078,world,base_footprint,-0.010378201126371854,0.04102839372528383,1,0,1,1784941017.4841216,77.12233996391296,world,workspace,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0,,,,,,,,,,,1,1784940971.3919525,123.21450901031494,workspace,1,321,,1,1784941094.6059434,0.0005180835723876953,world,pelvis,-0.017932188005600078,0.035351164071782216,0.7814857930101733,0.004289775149763676,-0.004230719468770252,-0.14729352113906732,0.9890744751900112,capsules,0.05,0.5,0.1,0.5,0.5
6,1784941094.706529,0.7100585885345936,1,1784941094.7056792,0.0008497238159179688,17,-0.00011431003076722845,1,0.0010903726797550917,1,0.007210195064544678,1,0.3726019561290741,1,0.6215675473213196,1,0.00016528663400094956,1,0.8202790021896362,1,0.3290935158729553,1,-0.6683168411254883,1,0.00011760079360101372,1,1.0099760293960571,1,-0.140870600938797,1,0.01290150173008442,1,0.003940860275179148,1,-0.04738932102918625,1,-0.050382886081933975,1,0.0108582628890872,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784941094.7049317,0.0015971660614013672,world,base_footprint,-0.010076116199514762,0.03927154145752057,1,0,1,1784941017.4841216,77.22240734100342,world,workspace,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0,,,,,,,,,,,1,1784940971.3919525,123.3145763874054,workspace,1,321,,1,1784941094.704932,0.0015969276428222656,world,pelvis,-0.01788602543978573,0.03407536233414195,0.781498336449751,0.0040099508169006365,-0.004437732133972091,-0.14718541976322594,0.9890908345733854,capsules,0.05,0.5,0.1,0.5,0.5
7,1784941094.8065312,0.810064104385674,1,1784941094.8060555,0.0004756450653076172,17,-0.0005376164917834103,1,-0.0008799256756901741,1,0.004460206720978022,1,0.3709377944469452,1,0.6209847331047058,1,8.940645057009533e-05,1,0.8201972246170044,1,0.33026447892189026,1,-0.669538140296936,1,4.157208968535997e-05,1,1.0099927186965942,1,-0.14269602298736572,1,0.013179407455027103,1,0.003995036240667105,1,-0.05124825984239578,1,-0.05053260177373886,1,0.009367907419800758,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784941094.8049371,0.0015940666198730469,world,base_footprint,-0.01169456315649001,0.039588786238901094,1,0,1,1784941017.4841216,77.32240962982178,world,workspace,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0,,,,,,,,,,,1,1784940971.3919525,123.41457867622375,workspace,1,321,,1,1784941094.8059402,0.0005910396575927734,world,pelvis,-0.017649571684614035,0.033030095777811935,0.7814332273430438,0.004694128373100083,-0.003141566064523231,-0.14686633972320404,0.9891402195734372,capsules,0.05,0.5,0.1,0.5,0.5
8,1784941094.906489,0.9100245665758848,1,1784941094.9055452,0.0009436607360839844,17,-0.0018477651756256819,1,0.00014020665548741817,1,0.003965042065829039,1,0.3702390789985657,1,0.6193501353263855,1,1.6072230209829286e-05,1,0.8203423023223877,1,0.33139434456825256,1,-0.6703962087631226,1,-1.4890227248542942e-05,1,1.0100123882293701,1,-0.14174628257751465,1,0.011363629251718521,1,0.0023203298915177584,1,-0.04991975054144859,1,-0.052456747740507126,1,0.007039118092507124,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784941094.9049332,0.0015556812286376953,world,base_footprint,-0.011913667196631231,0.04042209993530526,1,0,1,1784941017.4841216,77.42236733436584,world,workspace,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0,,,,,,,,,,,1,1784940971.3919525,123.51453638076782,workspace,1,321,,1,1784941094.9049335,0.0015554428100585938,world,pelvis,-0.01700677540870605,0.03289223888400923,0.7816172914204214,0.0052225809753925784,-0.002513995570461109,-0.14554821057728648,0.9893341815948629,capsules,0.05,0.5,0.1,0.5,0.5
9,1784941095.0067792,1.0103116352111101,1,1784941095.005956,0.0008232593536376953,17,-0.0005028293817304075,1,0.006713729351758957,1,0.013372203335165977,1,0.3697306513786316,1,0.6175169348716736,1,-0.0001492349401814863,1,0.8202136754989624,1,0.32905113697052,1,-0.6723208427429199,1,-0.00015344512939918786,1,1.0100113153457642,1,-0.14295852184295654,1,0.010731592774391174,1,0.0024824817664921284,1,-0.04635445773601532,1,-0.05312591791152954,1,0.0070319329388439655,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784941095.004933,0.0018460750579833984,world,base_footprint,-0.01077402678893715,0.040387947368787674,1,0,1,1784941017.4841216,77.52265763282776,world,workspace,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0,,,,,,,,,,,1,1784940971.3919525,123.61482667922974,workspace,1,321,,1,1784941095.004933,0.0018460750579833984,world,pelvis,-0.01740177760630108,0.0347785696127652,0.7815751703772009,0.004153543703377099,-0.00366027409111201,-0.1455516779389683,0.9893351603564047,capsules,0.05,0.5,0.1,0.5,0.5
