sample_index,ros_time_sec,elapsed_sec,joint_state_valid,joint_state_stamp_sec,joint_state_age_sec,joint_state_observed_count,joint__waist_yaw_joint,joint__waist_yaw_joint__observed,joint__waist_roll_joint,joint__waist_roll_joint__observed,joint__waist_pitch_joint,joint__waist_pitch_joint__observed,joint__left_shoulder_pitch_joint,joint__left_shoulder_pitch_joint__observed,joint__left_shoulder_roll_joint,joint__left_shoulder_roll_joint__observed,joint__left_shoulder_yaw_joint,joint__left_shoulder_yaw_joint__observed,joint__left_elbow_joint,joint__left_elbow_joint__observed,joint__right_shoulder_pitch_joint,joint__right_shoulder_pitch_joint__observed,joint__right_shoulder_roll_joint,joint__right_shoulder_roll_joint__observed,joint__right_shoulder_yaw_joint,joint__right_shoulder_yaw_joint__observed,joint__right_elbow_joint,joint__right_elbow_joint__observed,joint__left_hip_pitch_joint,joint__left_hip_pitch_joint__observed,joint__left_hip_roll_joint,joint__left_hip_roll_joint__observed,joint__left_hip_yaw_joint,joint__left_hip_yaw_joint__observed,joint__right_hip_pitch_joint,joint__right_hip_pitch_joint__observed,joint__right_hip_roll_joint,joint__right_hip_roll_joint__observed,joint__right_hip_yaw_joint,joint__right_hip_yaw_joint__observed,human_valid,human_stamp_sec,human_age_sec,human_source_frame,human_frame_id,human_received_count,human_used_count,human_00_present,human_00_fresh,human_00_name,human_00_a_x_m,human_00_a_y_m,human_00_a_z_m,human_00_b_x_m,human_00_b_y_m,human_00_b_z_m,human_00_radius_m,human_01_present,human_01_fresh,human_01_name,human_01_a_x_m,human_01_a_y_m,human_01_a_z_m,human_01_b_x_m,human_01_b_y_m,human_01_b_z_m,human_01_radius_m,human_02_present,human_02_fresh,human_02_name,human_02_a_x_m,human_02_a_y_m,human_02_a_z_m,human_02_b_x_m,human_02_b_y_m,human_02_b_z_m,human_02_radius_m,human_03_present,human_03_fresh,human_03_name,human_03_a_x_m,human_03_a_y_m,human_03_a_z_m,human_03_b_x_m,human_03_b_y_m,human_03_b_z_m,human_03_radius_m,human_04_present,human_04_fresh,human_04_name,human_04_a_x_m,human_04_a_y_m,human_04_a_z_m,human_04_b_x_m,human_04_b_y_m,human_04_b_z_m,human_04_radius_m,human_05_present,human_05_fresh,human_05_name,human_05_a_x_m,human_05_a_y_m,human_05_a_z_m,human_05_b_x_m,human_05_b_y_m,human_05_b_z_m,human_05_radius_m,human_06_present,human_06_fresh,human_06_name,human_06_a_x_m,human_06_a_y_m,human_06_a_z_m,human_06_b_x_m,human_06_b_y_m,human_06_b_z_m,human_06_radius_m,human_07_present,human_07_fresh,human_07_name,human_07_a_x_m,human_07_a_y_m,human_07_a_z_m,human_07_b_x_m,human_07_b_y_m,human_07_b_z_m,human_07_radius_m,human_08_present,human_08_fresh,human_08_name,human_08_a_x_m,human_08_a_y_m,human_08_a_z_m,human_08_b_x_m,human_08_b_y_m,human_08_b_z_m,human_08_radius_m,human_09_present,human_09_fresh,human_09_name,human_09_a_x_m,human_09_a_y_m,human_09_a_z_m,human_09_b_x_m,human_09_b_y_m,human_09_b_z_m,human_09_radius_m,human_10_present,human_10_fresh,human_10_name,human_10_a_x_m,human_10_a_y_m,human_10_a_z_m,human_10_b_x_m,human_10_b_y_m,human_10_b_z_m,human_10_radius_m,odom_valid,odom_stamp_sec,odom_age_sec,odom_frame_id,odom_child_frame_id,odom_x_m,odom_y_m,cbf_enabled,external_enabled,workspace_valid,workspace_stamp_sec,workspace_age_sec,workspace_frame_id,workspace_child_frame_id,workspace_enabled,workspace_capture_pending,workspace_generation,workspace_center_x_m,workspace_center_y_m,workspace_center_z_m,workspace_qx,workspace_qy,workspace_qz,workspace_qw,workspace_radius_m,workspace_activation_valid,workspace_activation_generation,workspace_activation_stamp_sec,workspace_activation_frame_id,workspace_activation_child_frame_id,workspace_activation_center_x_m,workspace_activation_center_y_m,workspace_activation_qx,workspace_activation_qy,workspace_activation_qz,workspace_activation_qw,workspace_path_valid,workspace_path_stamp_sec,workspace_path_age_sec,workspace_path_frame_id,workspace_path_sequence,workspace_path_point_count,workspace_path_xy_json,tf_valid,tf_stamp_sec,tf_age_sec,tf_world_frame,tf_pelvis_frame,tf_world_pelvis_tx_m,tf_world_pelvis_ty_m,tf_world_pelvis_tz_m,tf_world_pelvis_qx,tf_world_pelvis_qy,tf_world_pelvis_qz,tf_world_pelvis_qw,collision_geometry,internal_margin_phi_m,external_margin_phi_m,external_torso_margin_phi_m,human_timeout_sec,tf_stale_timeout_sec
0,1784928599.4659743,0.10670748446136713,1,1784928599.4648652,0.0011091232299804688,17,0.002243576105684042,1,0.0054705506190657616,1,0.008102229796350002,1,0.3683696985244751,1,0.6180331707000732,1,-1.625440518182586e-06,1,0.8188835978507996,1,0.3227952718734741,1,-0.6726878881454468,1,-4.1759543819352984e-05,1,1.0097898244857788,1,-0.13061194121837616,1,0.002481781877577305,1,0.00816589966416359,1,-0.06181489676237106,1,-0.04050995409488678,1,0.005436825565993786,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784928599.4644556,0.0015187263488769531,world,base_footprint,-0.06648018419796717,0.0030190386329215406,1,0,1,1784928593.86561,5.600364446640015,world,workspace,1,0,2,-0.0721911355745298,-0.0005509412263589577,0.0,0.0,0.0,-0.10574687133817579,0.994393080829803,1.5,1,2,1784928593.86561,world,workspace,-0.0721911355745298,-0.0005509412263589577,0.0,0.0,-0.10574687133817579,0.994393080829803,1,1784928593.865948,5.600026369094849,workspace,1,321,"[[0.0,0.0],[0.05,0.0],[0.1,0.0],[0.15,0.0],[0.2,0.0],[0.25,0.0],[0.3,0.0],[0.35,0.0],[0.4,0.0],[0.45,0.0],[0.5,0.0],[0.55,0.0],[0.6,0.0],[0.65,0.0],[0.7,0.0],[0.75,0.0],[0.8,0.0],[0.85,0.0],[0.9,0.0],[0.95,0.0],[1.0,0.0],[1.0,0.05],[1.0,0.1],[1.0,0.15],[1.0,0.2],[1.0,0.25],[1.0,0.3],[1.0,0.35000000000000003],[1.0,0.4],[1.0,0.44999999999999996],[1.0,0.5],[1.0,0.55],[1.0,0.6],[1.0,0.65],[1.0,0.7000000000000001],[1.0,0.75],[1.0,0.8],[1.0,0.8500000000000001],[1.0,0.8999999999999999],[1.0,0.95],[1.0,1.0],[1.0,1.05],[1.0,1.1],[1.0,1.1500000000000001],[1.0,1.2],[1.0,1.25],[1.0,1.3],[1.0,1.35],[1.0,1.4000000000000001],[1.0,1.45],[1.0,1.5],[1.0,1.55],[1.0,1.6],[1.0,1.6500000000000001],[1.0,1.7000000000000002],[1.0,1.75],[1.0,1.7999999999999998],[1.0,1.85],[1.0,1.9],[1.0,1.9500000000000002],[1.0,2.0],[1.0,2.05],[1.0,2.1],[1.0,2.15],[1.0,2.2],[1.0,2.25],[1.0,2.3000000000000003],[1.0,2.3499999999999996],[1.0,2.4],[1.0,2.45],[1.0,2.5],[0.95,2.5],[0.9,2.5],[0.85,2.5],[0.8,2.5],[0.75,2.5],[0.7,2.5],[0.65,2.5],[0.6,2.5],[0.55,2.5],[0.5,2.5],[0.44999999999999996,2.5],[0.4,2.5],[0.35,2.5],[0.30000000000000004,2.5],[0.25,2.5],[0.19999999999999996,2.5],[0.15000000000000002,2.5],[0.09999999999999998,2.5],[0.050000000000000044,2.5],[0.0,2.5],[-0.050000000000000044,2.5],[-0.10000000000000009,2.5],[-0.1499999999999999,2.5],[-0.19999999999999996,2.5],[-0.25,2.5],[-0.30000000000000004,2.5],[-0.3500000000000001,2.5],[-0.3999999999999999,2.5],[-0.44999999999999996,2.5],[-0.5,2.5],[-0.55,2.5],[-0.6000000000000001,2.5],[-0.6499999999999999,2.5],[-0.7,2.5],[-0.75,2.5],[-0.8,2.5],[-0.8500000000000001,2.5],[-0.8999999999999999,2.5],[-0.95,2.5],[-1.0,2.5],[-1.0,2.45],[-1.0,2.4],[-1.0,2.35],[-1.0,2.3],[-1.0,2.25],[-1.0,2.2],[-1.0,2.15],[-1.0,2.1],[-1.0,2.05],[-1.0,2.0],[-1.0,1.95],[-1.0,1.9],[-1.0,1.85],[-1.0,1.7999999999999998],[-1.0,1.75],[-1.0,1.7],[-1.0,1.65],[-1.0,1.6],[-1.0,1.55],[-1.0,1.5],[-1.0,1.45],[-1.0,1.4],[-1.0,1.3499999999999999],[-1.0,1.3],[-1.0,1.25],[-1.0,1.2],[-1.0,1.15],[-1.0,1.0999999999999999],[-1.0,1.05],[-1.0,1.0],[-1.0,0.95],[-1.0,0.8999999999999999],[-1.0,0.8499999999999999],[-1.0,0.7999999999999998],[-1.0,0.75],[-1.0,0.7000000000000002],[-1.0,0.6499999999999999],[-1.0,0.6000000000000001],[-1.0,0.5499999999999998],[-1.0,0.5],[-1.0,0.4500000000000002],[-1.0,0.3999999999999999],[-1.0,0.3500000000000001],[-1.0,0.2999999999999998],[-1.0,0.25],[-1.0,0.19999999999999973],[-1.0,0.15000000000000036],[-1.0,0.10000000000000009],[-1.0,0.04999999999999982],[-1.0,0.0],[-1.0,-0.04999999999999982],[-1.0,-0.10000000000000009],[-1.0,-0.15000000000000036],[-1.0,-0.20000000000000018],[-1.0,-0.25],[-1.0,-0.30000000000000027],[-1.0,-0.34999999999999964],[-1.0,-0.3999999999999999],[-1.0,-0.44999999999999973],[-1.0,-0.5],[-1.0,-0.5499999999999998],[-1.0,-0.6000000000000001],[-1.0,-0.6499999999999999],[-1.0,-0.7000000000000002],[-1.0,-0.75],[-1.0,-0.8000000000000003],[-1.0,-0.8500000000000001],[-1.0,-0.9000000000000004],[-1.0,-0.9499999999999997],[-1.0,-1.0],[-1.0,-1.0499999999999998],[-1.0,-1.0999999999999996],[-1.0,-1.15],[-1.0,-1.2000000000000002],[-1.0,-1.25],[-1.0,-1.2999999999999998],[-1.0,-1.35],[-1.0,-1.4000000000000004],[-1.0,-1.4500000000000002],[-1.0,-1.5],[-1.0,-1.5500000000000007],[-1.0,-1.5999999999999996],[-1.0,-1.6499999999999995],[-1.0,-1.7000000000000002],[-1.0,-1.75],[-1.0,-1.7999999999999998],[-1.0,-1.8499999999999996],[-1.0,-1.9000000000000004],[-1.0,-1.9500000000000002],[-1.0,-2.0],[-1.0,-2.05],[-1.0,-2.1000000000000005],[-1.0,-2.1500000000000004],[-1.0,-2.1999999999999993],[-1.0,-2.25],[-1.0,-2.3],[-1.0,-2.3499999999999996],[-1.0,-2.4000000000000004],[-1.0,-2.45],[-1.0,-2.5],[-0.95,-2.5],[-0.9,-2.5],[-0.85,-2.5],[-0.8,-2.5],[-0.75,-2.5],[-0.7,-2.5],[-0.65,-2.5],[-0.6,-2.5],[-0.55,-2.5],[-0.5,-2.5],[-0.44999999999999996,-2.5],[-0.4,-2.5],[-0.35,-2.5],[-0.30000000000000004,-2.5],[-0.25,-2.5],[-0.19999999999999996,-2.5],[-0.15000000000000002,-2.5],[-0.09999999999999998,-2.5],[-0.050000000000000044,-2.5],[0.0,-2.5],[0.050000000000000044,-2.5],[0.10000000000000009,-2.5],[0.1499999999999999,-2.5],[0.19999999999999996,-2.5],[0.25,-2.5],[0.30000000000000004,-2.5],[0.3500000000000001,-2.5],[0.3999999999999999,-2.5],[0.44999999999999996,-2.5],[0.5,-2.5],[0.55,-2.5],[0.6000000000000001,-2.5],[0.6499999999999999,-2.5],[0.7,-2.5],[0.75,-2.5],[0.8,-2.5],[0.8500000000000001,-2.5],[0.8999999999999999,-2.5],[0.95,-2.5],[1.0,-2.5],[1.0,-2.45],[1.0,-2.4],[1.0,-2.35],[1.0,-2.3],[1.0,-2.25],[1.0,-2.2],[1.0,-2.15],[1.0,-2.1],[1.0,-2.05],[1.0,-2.0],[1.0,-1.95],[1.0,-1.9],[1.0,-1.85],[1.0,-1.7999999999999998],[1.0,-1.75],[1.0,-1.7],[1.0,-1.65],[1.0,-1.6],[1.0,-1.55],[1.0,-1.5],[1.0,-1.45],[1.0,-1.4],[1.0,-1.3499999999999999],[1.0,-1.3],[1.0,-1.25],[1.0,-1.2],[1.0,-1.15],[1.0,-1.0999999999999999],[1.0,-1.05],[1.0,-1.0],[1.0,-0.95],[1.0,-0.8999999999999999],[1.0,-0.8499999999999999],[1.0,-0.7999999999999998],[1.0,-0.75],[1.0,-0.7000000000000002],[1.0,-0.6499999999999999],[1.0,-0.6000000000000001],[1.0,-0.5499999999999998],[1.0,-0.5],[1.0,-0.4500000000000002],[1.0,-0.3999999999999999],[1.0,-0.3500000000000001],[1.0,-0.2999999999999998],[1.0,-0.25],[1.0,-0.19999999999999973],[1.0,-0.15000000000000036],[1.0,-0.10000000000000009],[1.0,-0.04999999999999982],[1.0,0.0],[0.95,0.0],[0.9,0.0],[0.85,0.0],[0.8,0.0],[0.75,0.0],[0.7,0.0],[0.65,0.0],[0.6,0.0],[0.55,0.0],[0.5,0.0],[0.44999999999999996,0.0],[0.4,0.0],[0.35,0.0],[0.30000000000000004,0.0],[0.25,0.0],[0.19999999999999996,0.0],[0.15000000000000002,0.0],[0.09999999999999998,0.0],[0.050000000000000044,0.0],[0.0,0.0]]",1,1784928599.4644556,0.0015187263488769531,world,pelvis,-0.07229897176957992,-0.0005075541282546308,0.7816273154383093,0.002623125504390932,-0.00345536750963876,-0.10426671373630104,0.994539909734443,capsules,0.05,0.5,0.1,0.5,0.5
1,1784928599.566021,0.20675396267324686,1,1784928599.5647302,0.0012907981872558594,17,0.0016982255037873983,1,0.0035935048945248127,1,-0.0020554927177727222,1,0.36922749876976013,1,0.6188701391220093,1,6.26902183284983e-05,1,0.8189632892608643,1,0.3238917291164398,1,-0.6714150905609131,1,4.347192952991463e-05,1,1.0097789764404297,1,-0.1336597353219986,1,0.0047719432041049,1,0.009507124312222004,1,-0.0647512748837471,1,-0.038527511060237885,1,0.0065339067950844765,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784928599.564457,0.00156402587890625,world,base_footprint,-0.06965920709960438,0.0026623633494703694,1,0,1,1784928593.86561,5.700411081314087,world,workspace,1,0,2,-0.0721911355745298,-0.0005509412263589577,0.0,0.0,0.0,-0.10574687133817579,0.994393080829803,1.5,1,2,1784928593.86561,world,workspace,-0.0721911355745298,-0.0005509412263589577,0.0,0.0,-0.10574687133817579,0.994393080829803,1,1784928593.865948,5.700073003768921,workspace,1,321,,1,1784928599.5654593,0.0005617141723632812,world,pelvis,-0.07159528884839789,-0.0012510397854430168,0.7817807989009303,0.002611137865666436,-0.0009651967032546677,-0.10515978876563019,0.9944514413389618,capsules,0.05,0.5,0.1,0.5,0.5
2,1784928599.6660473,0.3067813953384757,1,1784928599.6657057,0.00034165382385253906,17,-0.0013135360786691308,1,0.0010458816541358829,1,0.002263906877487898,1,0.3666094243526459,1,0.6180981993675232,1,2.0256080460967496e-05,1,0.8187668323516846,1,0.32404157519340515,1,-0.6717113256454468,1,-2.0218974896124564e-05,1,1.0097342729568481,1,-0.13118699193000793,1,0.0028756384272128344,1,0.00757786026224494,1,-0.06389781087636948,1,-0.04046100005507469,1,0.0046251872554421425,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784928599.664454,0.0015933513641357422,world,base_footprint,-0.06839379900384618,0.0031945782557299125,1,0,1,1784928593.86561,5.8004374504089355,world,workspace,1,0,2,-0.0721911355745298,-0.0005509412263589577,0.0,0.0,0.0,-0.10574687133817579,0.994393080829803,1.5,1,2,1784928593.86561,world,workspace,-0.0721911355745298,-0.0005509412263589577,0.0,0.0,-0.10574687133817579,0.994393080829803,1,1784928593.865948,5.8000993728637695,workspace,1,321,,1,1784928599.6644542,0.0015931129455566406,world,pelvis,-0.07148707275870367,-0.001675077751502305,0.7817652855338774,0.0032931901670510445,-0.0016385679537137055,-0.10402557673544377,0.9945678204016271,capsules,0.05,0.5,0.1,0.5,0.5
3,1784928599.7660687,0.4068045802414417,1,1784928599.7649295,0.0011391639709472656,17,-0.002310024341568351,1,8.765581878833473e-05,1,0.0073000285774469376,1,0.3656301498413086,1,0.6187489032745361,1,4.314117904868908e-05,1,0.818617045879364,1,0.3244568407535553,1,-0.6717673540115356,1,-1.8537559299147688e-05,1,1.0096911191940308,1,-0.13560104370117188,1,0.0030170895624905825,1,0.005227621644735336,1,-0.06769609451293945,1,-0.040702756494283676,1,0.0011813004966825247,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784928599.764455,0.001613616943359375,world,base_footprint,-0.06974546806731757,0.0029500089434775223,1,0,1,1784928593.86561,5.900458812713623,world,workspace,1,0,2,-0.0721911355745298,-0.0005509412263589577,0.0,0.0,0.0,-0.10574687133817579,0.994393080829803,1.5,1,2,1784928593.86561,world,workspace,-0.0721911355745298,-0.0005509412263589577,0.0,0.0,-0.10574687133817579,0.994393080829803,1,1784928593.865948,5.900120735168457,workspace,1,321,,1,1784928599.7654586,0.0006101131439208984,world,pelvis,-0.07259075411468606,-0.0020210358772330093,0.7815978671387231,0.0033392925848270724,-0.0014785288125534837,-0.10285124115818438,0.9946900448229109,capsules,0.05,0.5,0.1,0.5,0.5
4,1784928599.8659205,0.5066536413505673,1,1784928599.8654,0.0005204677581787109,17,-0.0012922881869599223,1,-0.0008270582766272128,1,0.012593943625688553,1,0.36626601219177246,1,0.6187440156936646,1,4.220434857415967e-05,1,0.8186973333358765,1,0.32439932227134705,1,-0.6711827516555786,1,-1.1883777006005403e-05,1,1.0097662210464478,1,-0.13076063990592957,1,0.0022027050144970417,1,0.0055090999230742455,1,-0.06562642008066177,1,-0.04174758121371269,1,0.001695356797426939,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784928599.8644586,0.0014619827270507812,world,base_footprint,-0.06761482579324071,0.0031740041235054145,1,0,1,1784928593.86561,6.000310659408569,world,workspace,1,0,2,-0.0721911355745298,-0.0005509412263589577,0.0,0.0,0.0,-0.10574687133817579,0.994393080829803,1.5,1,2,1784928593.86561,world,workspace,-0.0721911355745298,-0.0005509412263589577,0.0,0.0,-0.10574687133817579,0.994393080829803,1,1784928593.865948,5.999972581863403,workspace,1,321,,1,1784928599.8644586,0.0014619827270507812,world,pelvis,-0.07345729882187849,-0.0019062333275819505,0.7816670271060472,0.003605063560669118,-0.003372296819881886,-0.10283605917838633,0.994686069100971,capsules,0.05,0.5,0.1,0.5,0.5
5,1784928599.965947,0.606678269803524,1,1784928599.9654431,0.0005037784576416016,17,0.00016971127479337156,1,0.0023859147913753986,1,0.00410395348444581,1,0.3683649003505707,1,0.6188188195228577,1,-1.942515154951252e-05,1,0.8187989592552185,1,0.32623177766799927,1,-0.6713337898254395,1,-2.0537961972877383e-05,1,1.0098199844360352,1,-0.1356336921453476,1,0.005120669025927782,1,0.0061287726275622845,1,-0.06614100933074951,1,-0.03920402005314827,1,0.002045129891484976,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784928599.9644547,0.0014922618865966797,world,base_footprint,-0.07015919737580521,0.0020707177841584132,1,0,1,1784928593.86561,6.100337028503418,world,workspace,1,0,2,-0.0721911355745298,-0.0005509412263589577,0.0,0.0,0.0,-0.10574687133817579,0.994393080829803,1.5,1,2,1784928593.86561,world,workspace,-0.0721911355745298,-0.0005509412263589577,0.0,0.0,-0.10574687133817579,0.994393080829803,1,1784928593.865948,6.099998950958252,workspace,1,321,,1,1784928599.9644547,0.0014922618865966797,world,pelvis,-0.07344584449608936,-0.0017669860711516214,0.7817262036461385,0.0026505745831033756,-0.001831141306791652,-0.10346099904177179,0.9946282939134461,capsules,0.05,0.5,0.1,0.5,0.5
6,1784928600.0659668,0.7067005531862378,1,1784928600.065314,0.0006527900695800781,17,-0.0014237703289836645,1,0.002139023970812559,1,-0.000633488642051816,1,0.3679361939430237,1,0.6190325021743774,1,-1.1183666401848313e-06,1,0.8188100457191467,1,0.32633453607559204,1,-0.671201229095459,1,-2.625716479087714e-05,1,1.0098679065704346,1,-0.13497118651866913,1,0.004486345686018467,1,0.00418807752430439,1,-0.06404928863048553,1,-0.03958392143249512,1,0.0011473405174911022,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784928600.0644581,0.0015087127685546875,world,base_footprint,-0.06946078498683217,0.0019345242870089773,1,0,1,1784928593.86561,6.200356960296631,world,workspace,1,0,2,-0.0721911355745298,-0.0005509412263589577,0.0,0.0,0.0,-0.10574687133817579,0.994393080829803,1.5,1,2,1784928593.86561,world,workspace,-0.0721911355745298,-0.0005509412263589577,0.0,0.0,-0.10574687133817579,0.994393080829803,1,1784928593.865948,6.200018882751465,workspace,1,321,,1,1784928600.0644581,0.0015087127685546875,world,pelvis,-0.07300470903437092,-0.0019223233637293553,0.7817350911219446,0.002678026170925076,-0.0019952692469976975,-0.10263217967914119,0.9947137692677066,capsules,0.05,0.5,0.1,0.5,0.5
7,1784928600.1663375,0.8070868439972401,1,1784928600.1651914,0.001146078109741211,17,0.0006074943230487406,1,0.0018398507963865995,1,0.0043638283386826515,1,0.3666249215602875,1,0.618735134601593,1,-2.0675326595664956e-05,1,0.8187551498413086,1,0.32476985454559326,1,-0.6714802384376526,1,-4.236075983499177e-05,1,1.009771466255188,1,-0.12991727888584137,1,0.0020970662590116262,1,0.007492982782423496,1,-0.0653110221028328,1,-0.042616356164216995,1,0.004496350884437561,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784928600.1634545,0.0028829574584960938,world,base_footprint,-0.06644628793480721,0.0036802673601380557,1,0,1,1784928593.86561,6.300727605819702,world,workspace,1,0,2,-0.0721911355745298,-0.0005509412263589577,0.0,0.0,0.0,-0.10574687133817579,0.994393080829803,1.5,1,2,1784928593.86561,world,workspace,-0.0721911355745298,-0.0005509412263589577,0.0,0.0,-0.10574687133817579,0.994393080829803,1,1784928593.865948,6.300389528274536,workspace,1,321,,1,1784928600.1654541,0.0008833408355712891,world,pelvis,-0.07340237731807647,-0.0010131461418035398,0.781557903328205,0.0034509091739401854,-0.0040548971224315675,-0.10402458633548416,0.9945604730095255,capsules,0.05,0.5,0.1,0.5,0.5
8,1784928600.2659552,0.9066879963502288,1,1784928600.2648163,0.001138925552368164,17,0.0012163016945123672,1,0.0036736116744577885,1,0.0005918001406826079,1,0.36726438999176025,1,0.6177344918251038,1,-4.856831219512969e-05,1,0.8187589049339294,1,0.32473891973495483,1,-0.671310544013977,1,-6.493276305263862e-05,1,1.0097585916519165,1,-0.1340702772140503,1,0.0034498758614063263,1,0.008340153843164444,1,-0.0670473650097847,1,-0.041498567909002304,1,0.00554105406627059,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784928600.2644584,0.0014967918395996094,world,base_footprint,-0.06954194420698517,0.003729369215959836,1,0,1,1784928593.86561,6.400345325469971,world,workspace,1,0,2,-0.0721911355745298,-0.0005509412263589577,0.0,0.0,0.0,-0.10574687133817579,0.994393080829803,1.5,1,2,1784928593.86561,world,workspace,-0.0721911355745298,-0.0005509412263589577,0.0,0.0,-0.10574687133817579,0.994393080829803,1,1784928593.865948,6.400007247924805,workspace,1,321,,1,1784928600.2644584,0.0014967918395996094,world,pelvis,-0.07357735019036458,-0.0005706104770808406,0.7817585694776444,0.002995908857267773,-0.002271840868668765,-0.10467381924084329,0.9944994996653954,capsules,0.05,0.5,0.1,0.5,0.5
9,1784928600.3659744,1.0067110322415829,1,1784928600.3653114,0.0006630420684814453,17,-0.001213535782881081,1,0.0002000461972784251,1,0.007736900821328163,1,0.36652448773384094,1,0.621674120426178,1,0.00011895368515979499,1,0.818701982498169,1,0.3225260376930237,1,-0.6681609749794006,1,6.31457005511038e-05,1,1.0097124576568604,1,-0.13373762369155884,1,0.005848935805261135,1,0.005700828041881323,1,-0.06586325168609619,1,-0.03904842957854271,1,0.003265947103500366,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784928600.3644555,0.0015189647674560547,world,base_footprint,-0.06857047003042249,0.001594110498880022,1,0,1,1784928593.86561,6.500364542007446,world,workspace,1,0,2,-0.0721911355745298,-0.0005509412263589577,0.0,0.0,0.0,-0.10574687133817579,0.994393080829803,1.5,1,2,1784928593.86561,world,workspace,-0.0721911355745298,-0.0005509412263589577,0.0,0.0,-0.10574687133817579,0.994393080829803,1,1784928593.865948,6.50002646446228,workspace,1,321,,1,1784928600.3644555,0.0015189647674560547,world,pelvis,-0.07504136420106161,-0.0017059731151831399,0.7816787684940915,0.0025217376002179344,-0.0038846663251139732,-0.10398250921038187,0.9945683425412911,capsules,0.05,0.5,0.1,0.5,0.5
