sample_index,ros_time_sec,elapsed_sec,joint_state_valid,joint_state_stamp_sec,joint_state_age_sec,joint_state_observed_count,joint__waist_yaw_joint,joint__waist_yaw_joint__observed,joint__waist_roll_joint,joint__waist_roll_joint__observed,joint__waist_pitch_joint,joint__waist_pitch_joint__observed,joint__left_shoulder_pitch_joint,joint__left_shoulder_pitch_joint__observed,joint__left_shoulder_roll_joint,joint__left_shoulder_roll_joint__observed,joint__left_shoulder_yaw_joint,joint__left_shoulder_yaw_joint__observed,joint__left_elbow_joint,joint__left_elbow_joint__observed,joint__right_shoulder_pitch_joint,joint__right_shoulder_pitch_joint__observed,joint__right_shoulder_roll_joint,joint__right_shoulder_roll_joint__observed,joint__right_shoulder_yaw_joint,joint__right_shoulder_yaw_joint__observed,joint__right_elbow_joint,joint__right_elbow_joint__observed,joint__left_hip_pitch_joint,joint__left_hip_pitch_joint__observed,joint__left_hip_roll_joint,joint__left_hip_roll_joint__observed,joint__left_hip_yaw_joint,joint__left_hip_yaw_joint__observed,joint__right_hip_pitch_joint,joint__right_hip_pitch_joint__observed,joint__right_hip_roll_joint,joint__right_hip_roll_joint__observed,joint__right_hip_yaw_joint,joint__right_hip_yaw_joint__observed,human_valid,human_stamp_sec,human_age_sec,human_source_frame,human_frame_id,human_received_count,human_used_count,human_00_present,human_00_fresh,human_00_name,human_00_a_x_m,human_00_a_y_m,human_00_a_z_m,human_00_b_x_m,human_00_b_y_m,human_00_b_z_m,human_00_radius_m,human_01_present,human_01_fresh,human_01_name,human_01_a_x_m,human_01_a_y_m,human_01_a_z_m,human_01_b_x_m,human_01_b_y_m,human_01_b_z_m,human_01_radius_m,human_02_present,human_02_fresh,human_02_name,human_02_a_x_m,human_02_a_y_m,human_02_a_z_m,human_02_b_x_m,human_02_b_y_m,human_02_b_z_m,human_02_radius_m,human_03_present,human_03_fresh,human_03_name,human_03_a_x_m,human_03_a_y_m,human_03_a_z_m,human_03_b_x_m,human_03_b_y_m,human_03_b_z_m,human_03_radius_m,human_04_present,human_04_fresh,human_04_name,human_04_a_x_m,human_04_a_y_m,human_04_a_z_m,human_04_b_x_m,human_04_b_y_m,human_04_b_z_m,human_04_radius_m,human_05_present,human_05_fresh,human_05_name,human_05_a_x_m,human_05_a_y_m,human_05_a_z_m,human_05_b_x_m,human_05_b_y_m,human_05_b_z_m,human_05_radius_m,human_06_present,human_06_fresh,human_06_name,human_06_a_x_m,human_06_a_y_m,human_06_a_z_m,human_06_b_x_m,human_06_b_y_m,human_06_b_z_m,human_06_radius_m,human_07_present,human_07_fresh,human_07_name,human_07_a_x_m,human_07_a_y_m,human_07_a_z_m,human_07_b_x_m,human_07_b_y_m,human_07_b_z_m,human_07_radius_m,human_08_present,human_08_fresh,human_08_name,human_08_a_x_m,human_08_a_y_m,human_08_a_z_m,human_08_b_x_m,human_08_b_y_m,human_08_b_z_m,human_08_radius_m,human_09_present,human_09_fresh,human_09_name,human_09_a_x_m,human_09_a_y_m,human_09_a_z_m,human_09_b_x_m,human_09_b_y_m,human_09_b_z_m,human_09_radius_m,human_10_present,human_10_fresh,human_10_name,human_10_a_x_m,human_10_a_y_m,human_10_a_z_m,human_10_b_x_m,human_10_b_y_m,human_10_b_z_m,human_10_radius_m,odom_valid,odom_stamp_sec,odom_age_sec,odom_frame_id,odom_child_frame_id,odom_x_m,odom_y_m,cbf_enabled,external_enabled,workspace_valid,workspace_stamp_sec,workspace_age_sec,workspace_frame_id,workspace_child_frame_id,workspace_enabled,workspace_capture_pending,workspace_generation,workspace_center_x_m,workspace_center_y_m,workspace_center_z_m,workspace_qx,workspace_qy,workspace_qz,workspace_qw,workspace_radius_m,workspace_activation_valid,workspace_activation_generation,workspace_activation_stamp_sec,workspace_activation_frame_id,workspace_activation_child_frame_id,workspace_activation_center_x_m,workspace_activation_center_y_m,workspace_activation_qx,workspace_activation_qy,workspace_activation_qz,workspace_activation_qw,workspace_path_valid,workspace_path_stamp_sec,workspace_path_age_sec,workspace_path_frame_id,workspace_path_sequence,workspace_path_point_count,workspace_path_xy_json,tf_valid,tf_stamp_sec,tf_age_sec,tf_world_frame,tf_pelvis_frame,tf_world_pelvis_tx_m,tf_world_pelvis_ty_m,tf_world_pelvis_tz_m,tf_world_pelvis_qx,tf_world_pelvis_qy,tf_world_pelvis_qz,tf_world_pelvis_qw,collision_geometry,internal_margin_phi_m,external_margin_phi_m,external_torso_margin_phi_m,human_timeout_sec,tf_stale_timeout_sec
0,1784929571.135614,0.10625987779349089,1,1784929571.13512,0.0004940032958984375,17,-0.05295293778181076,1,0.0998813658952713,1,0.0008023096597753465,1,-0.5760510563850403,1,0.3000141382217407,1,-0.8837381601333618,1,0.4848025441169739,1,-0.1658114790916443,1,-0.5928627252578735,1,0.6447893977165222,1,0.3122941553592682,1,-0.0645015761256218,1,-0.014690699987113476,1,-0.03422575071454048,1,-0.09278810024261475,1,-0.026568137109279633,1,0.02977450005710125,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784929571.1334565,0.002157449722290039,world,base_footprint,0.5173009922823159,-0.06371629148464368,1,0,1,1784929567.4354498,3.7001640796661377,world,workspace,1,0,3,0.47418051624239393,-0.07498176989329002,0.0,0.0,0.0,0.18733963242682541,0.9822952011092093,1.5,1,3,1784929567.4354498,world,workspace,0.47418051624239393,-0.07498176989329002,0.0,0.0,0.18733963242682541,0.9822952011092093,1,1784929567.435601,3.7000129222869873,workspace,1,321,"[[0.0,0.0],[0.05,0.0],[0.1,0.0],[0.15,0.0],[0.2,0.0],[0.25,0.0],[0.3,0.0],[0.35,0.0],[0.4,0.0],[0.45,0.0],[0.5,0.0],[0.55,0.0],[0.6,0.0],[0.65,0.0],[0.7,0.0],[0.75,0.0],[0.8,0.0],[0.85,0.0],[0.9,0.0],[0.95,0.0],[1.0,0.0],[1.0,0.05],[1.0,0.1],[1.0,0.15],[1.0,0.2],[1.0,0.25],[1.0,0.3],[1.0,0.35000000000000003],[1.0,0.4],[1.0,0.44999999999999996],[1.0,0.5],[1.0,0.55],[1.0,0.6],[1.0,0.65],[1.0,0.7000000000000001],[1.0,0.75],[1.0,0.8],[1.0,0.8500000000000001],[1.0,0.8999999999999999],[1.0,0.95],[1.0,1.0],[1.0,1.05],[1.0,1.1],[1.0,1.1500000000000001],[1.0,1.2],[1.0,1.25],[1.0,1.3],[1.0,1.35],[1.0,1.4000000000000001],[1.0,1.45],[1.0,1.5],[1.0,1.55],[1.0,1.6],[1.0,1.6500000000000001],[1.0,1.7000000000000002],[1.0,1.75],[1.0,1.7999999999999998],[1.0,1.85],[1.0,1.9],[1.0,1.9500000000000002],[1.0,2.0],[1.0,2.05],[1.0,2.1],[1.0,2.15],[1.0,2.2],[1.0,2.25],[1.0,2.3000000000000003],[1.0,2.3499999999999996],[1.0,2.4],[1.0,2.45],[1.0,2.5],[0.95,2.5],[0.9,2.5],[0.85,2.5],[0.8,2.5],[0.75,2.5],[0.7,2.5],[0.65,2.5],[0.6,2.5],[0.55,2.5],[0.5,2.5],[0.44999999999999996,2.5],[0.4,2.5],[0.35,2.5],[0.30000000000000004,2.5],[0.25,2.5],[0.19999999999999996,2.5],[0.15000000000000002,2.5],[0.09999999999999998,2.5],[0.050000000000000044,2.5],[0.0,2.5],[-0.050000000000000044,2.5],[-0.10000000000000009,2.5],[-0.1499999999999999,2.5],[-0.19999999999999996,2.5],[-0.25,2.5],[-0.30000000000000004,2.5],[-0.3500000000000001,2.5],[-0.3999999999999999,2.5],[-0.44999999999999996,2.5],[-0.5,2.5],[-0.55,2.5],[-0.6000000000000001,2.5],[-0.6499999999999999,2.5],[-0.7,2.5],[-0.75,2.5],[-0.8,2.5],[-0.8500000000000001,2.5],[-0.8999999999999999,2.5],[-0.95,2.5],[-1.0,2.5],[-1.0,2.45],[-1.0,2.4],[-1.0,2.35],[-1.0,2.3],[-1.0,2.25],[-1.0,2.2],[-1.0,2.15],[-1.0,2.1],[-1.0,2.05],[-1.0,2.0],[-1.0,1.95],[-1.0,1.9],[-1.0,1.85],[-1.0,1.7999999999999998],[-1.0,1.75],[-1.0,1.7],[-1.0,1.65],[-1.0,1.6],[-1.0,1.55],[-1.0,1.5],[-1.0,1.45],[-1.0,1.4],[-1.0,1.3499999999999999],[-1.0,1.3],[-1.0,1.25],[-1.0,1.2],[-1.0,1.15],[-1.0,1.0999999999999999],[-1.0,1.05],[-1.0,1.0],[-1.0,0.95],[-1.0,0.8999999999999999],[-1.0,0.8499999999999999],[-1.0,0.7999999999999998],[-1.0,0.75],[-1.0,0.7000000000000002],[-1.0,0.6499999999999999],[-1.0,0.6000000000000001],[-1.0,0.5499999999999998],[-1.0,0.5],[-1.0,0.4500000000000002],[-1.0,0.3999999999999999],[-1.0,0.3500000000000001],[-1.0,0.2999999999999998],[-1.0,0.25],[-1.0,0.19999999999999973],[-1.0,0.15000000000000036],[-1.0,0.10000000000000009],[-1.0,0.04999999999999982],[-1.0,0.0],[-1.0,-0.04999999999999982],[-1.0,-0.10000000000000009],[-1.0,-0.15000000000000036],[-1.0,-0.20000000000000018],[-1.0,-0.25],[-1.0,-0.30000000000000027],[-1.0,-0.34999999999999964],[-1.0,-0.3999999999999999],[-1.0,-0.44999999999999973],[-1.0,-0.5],[-1.0,-0.5499999999999998],[-1.0,-0.6000000000000001],[-1.0,-0.6499999999999999],[-1.0,-0.7000000000000002],[-1.0,-0.75],[-1.0,-0.8000000000000003],[-1.0,-0.8500000000000001],[-1.0,-0.9000000000000004],[-1.0,-0.9499999999999997],[-1.0,-1.0],[-1.0,-1.0499999999999998],[-1.0,-1.0999999999999996],[-1.0,-1.15],[-1.0,-1.2000000000000002],[-1.0,-1.25],[-1.0,-1.2999999999999998],[-1.0,-1.35],[-1.0,-1.4000000000000004],[-1.0,-1.4500000000000002],[-1.0,-1.5],[-1.0,-1.5500000000000007],[-1.0,-1.5999999999999996],[-1.0,-1.6499999999999995],[-1.0,-1.7000000000000002],[-1.0,-1.75],[-1.0,-1.7999999999999998],[-1.0,-1.8499999999999996],[-1.0,-1.9000000000000004],[-1.0,-1.9500000000000002],[-1.0,-2.0],[-1.0,-2.05],[-1.0,-2.1000000000000005],[-1.0,-2.1500000000000004],[-1.0,-2.1999999999999993],[-1.0,-2.25],[-1.0,-2.3],[-1.0,-2.3499999999999996],[-1.0,-2.4000000000000004],[-1.0,-2.45],[-1.0,-2.5],[-0.95,-2.5],[-0.9,-2.5],[-0.85,-2.5],[-0.8,-2.5],[-0.75,-2.5],[-0.7,-2.5],[-0.65,-2.5],[-0.6,-2.5],[-0.55,-2.5],[-0.5,-2.5],[-0.44999999999999996,-2.5],[-0.4,-2.5],[-0.35,-2.5],[-0.30000000000000004,-2.5],[-0.25,-2.5],[-0.19999999999999996,-2.5],[-0.15000000000000002,-2.5],[-0.09999999999999998,-2.5],[-0.050000000000000044,-2.5],[0.0,-2.5],[0.050000000000000044,-2.5],[0.10000000000000009,-2.5],[0.1499999999999999,-2.5],[0.19999999999999996,-2.5],[0.25,-2.5],[0.30000000000000004,-2.5],[0.3500000000000001,-2.5],[0.3999999999999999,-2.5],[0.44999999999999996,-2.5],[0.5,-2.5],[0.55,-2.5],[0.6000000000000001,-2.5],[0.6499999999999999,-2.5],[0.7,-2.5],[0.75,-2.5],[0.8,-2.5],[0.8500000000000001,-2.5],[0.8999999999999999,-2.5],[0.95,-2.5],[1.0,-2.5],[1.0,-2.45],[1.0,-2.4],[1.0,-2.35],[1.0,-2.3],[1.0,-2.25],[1.0,-2.2],[1.0,-2.15],[1.0,-2.1],[1.0,-2.05],[1.0,-2.0],[1.0,-1.95],[1.0,-1.9],[1.0,-1.85],[1.0,-1.7999999999999998],[1.0,-1.75],[1.0,-1.7],[1.0,-1.65],[1.0,-1.6],[1.0,-1.55],[1.0,-1.5],[1.0,-1.45],[1.0,-1.4],[1.0,-1.3499999999999999],[1.0,-1.3],[1.0,-1.25],[1.0,-1.2],[1.0,-1.15],[1.0,-1.0999999999999999],[1.0,-1.05],[1.0,-1.0],[1.0,-0.95],[1.0,-0.8999999999999999],[1.0,-0.8499999999999999],[1.0,-0.7999999999999998],[1.0,-0.75],[1.0,-0.7000000000000002],[1.0,-0.6499999999999999],[1.0,-0.6000000000000001],[1.0,-0.5499999999999998],[1.0,-0.5],[1.0,-0.4500000000000002],[1.0,-0.3999999999999999],[1.0,-0.3500000000000001],[1.0,-0.2999999999999998],[1.0,-0.25],[1.0,-0.19999999999999973],[1.0,-0.15000000000000036],[1.0,-0.10000000000000009],[1.0,-0.04999999999999982],[1.0,0.0],[0.95,0.0],[0.9,0.0],[0.85,0.0],[0.8,0.0],[0.75,0.0],[0.7,0.0],[0.65,0.0],[0.6,0.0],[0.55,0.0],[0.5,0.0],[0.44999999999999996,0.0],[0.4,0.0],[0.35,0.0],[0.30000000000000004,0.0],[0.25,0.0],[0.19999999999999996,0.0],[0.15000000000000002,0.0],[0.09999999999999998,0.0],[0.050000000000000044,0.0],[0.0,0.0]]",1,1784929571.1334565,0.002157449722290039,world,pelvis,0.48087611498930394,-0.08391602739776531,0.7824395619344046,0.007068784817020492,-0.025607913289163856,0.23470908123101278,0.9717025852831098,capsules,0.05,0.5,0.1,0.5,0.5
1,1784929571.2356606,0.20630378928035498,1,1784929571.2352486,0.0004119873046875,17,-0.0024165937211364508,1,0.07394330948591232,1,-0.008825324475765228,1,-0.6009624600410461,1,0.32004156708717346,1,-0.8459908962249756,1,0.3758080005645752,1,-0.16526533663272858,1,-0.7522431015968323,1,0.6280508637428284,1,0.22030143439769745,1,-0.07577744871377945,1,-0.008731263689696789,1,-0.034350018948316574,1,-0.10501904785633087,1,-0.021260011941194534,1,0.031165774911642075,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784929571.234454,0.0012066364288330078,world,base_footprint,0.5103850062667389,-0.0709242959234668,1,0,1,1784929567.4354498,3.80021071434021,world,workspace,1,0,3,0.47418051624239393,-0.07498176989329002,0.0,0.0,0.0,0.18733963242682541,0.9822952011092093,1.5,1,3,1784929567.4354498,world,workspace,0.47418051624239393,-0.07498176989329002,0.0,0.0,0.18733963242682541,0.9822952011092093,1,1784929567.435601,3.8000595569610596,workspace,1,321,,1,1784929571.2344542,0.0012063980102539062,world,pelvis,0.480820477205646,-0.08846412504088297,0.7828686272685546,0.006444764644351156,-0.020954378123118608,0.23480756460643856,0.9717946216406764,capsules,0.05,0.5,0.1,0.5,0.5
2,1784929571.3355994,0.3062442075461149,1,1784929571.3347673,0.0008320808410644531,17,0.028153499588370323,1,0.029474474489688873,1,-0.016486480832099915,1,-0.5656476616859436,1,0.3594789505004883,1,-0.8127427101135254,1,0.2675574719905853,1,-0.06693914532661438,1,-0.800967276096344,1,0.5207647681236267,1,0.14867930114269257,1,-0.08149586617946625,1,-0.004439639858901501,1,-0.03153190761804581,1,-0.1126173734664917,1,-0.017378371208906174,1,0.0356779545545578,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784929571.3334558,0.0021436214447021484,world,base_footprint,0.5053479754467813,-0.07555873005122014,1,0,1,1784929567.4354498,3.9001495838165283,world,workspace,1,0,3,0.47418051624239393,-0.07498176989329002,0.0,0.0,0.0,0.18733963242682541,0.9822952011092093,1.5,1,3,1784929567.4354498,world,workspace,0.47418051624239393,-0.07498176989329002,0.0,0.0,0.18733963242682541,0.9822952011092093,1,1784929567.435601,3.899998426437378,workspace,1,321,,1,1784929571.3344576,0.0011417865753173828,world,pelvis,0.4826302614421485,-0.08957664030221417,0.7832272221410074,0.00530780536059322,-0.016173969825337003,0.23355230578071104,0.9721952223534409,capsules,0.05,0.5,0.1,0.5,0.5
3,1784929571.4355936,0.4062395775690675,1,1784929571.4344504,0.0011432170867919922,17,0.035743795335292816,1,-0.03628397360444069,1,-0.0029991487972438335,1,-0.4625811278820038,1,0.38711926341056824,1,-0.7376183271408081,1,0.14026036858558655,1,0.10036719590425491,1,-0.7310945987701416,1,0.40459442138671875,1,0.07076756656169891,1,-0.07722248882055283,1,-0.0038485790137201548,1,-0.030493903905153275,1,-0.11333084106445312,1,-0.01684250310063362,1,0.0389026440680027,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784929571.434454,0.0011396408081054688,world,base_footprint,0.5061294235355777,-0.07500251511667998,1,0,1,1784929567.4354498,4.000143766403198,world,workspace,1,0,3,0.47418051624239393,-0.07498176989329002,0.0,0.0,0.0,0.18733963242682541,0.9822952011092093,1.5,1,3,1784929567.4354498,world,workspace,0.47418051624239393,-0.07498176989329002,0.0,0.0,0.18733963242682541,0.9822952011092093,1,1784929567.435601,3.999992609024048,workspace,1,321,,1,1784929571.4344542,0.0011394023895263672,world,pelvis,0.4853793040544344,-0.08902714727936566,0.783190578593749,0.005605757980064427,-0.014954419135347041,0.233504283678986,0.9722246089918507,capsules,0.05,0.5,0.1,0.5,0.5
4,1784929571.535905,0.5065524093806744,1,1784929571.5341575,0.0017473697662353516,17,0.028457654640078545,1,-0.10616813600063324,1,0.014689023606479168,1,-0.3045717179775238,1,0.38431304693222046,1,-0.6019078493118286,1,-0.011273165233433247,1,0.2740793526172638,1,-0.5602493286132812,1,0.2776441276073456,1,-0.03917104750871658,1,-0.08297273516654968,1,-0.0026156825479120016,1,-0.03364378586411476,1,-0.11728920787572861,1,-0.015985459089279175,1,0.03800921514630318,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784929571.5324566,0.0034482479095458984,world,base_footprint,0.5040103251994129,-0.077205253271221,1,0,1,1784929567.4354498,4.100455045700073,world,workspace,1,0,3,0.47418051624239393,-0.07498176989329002,0.0,0.0,0.0,0.18733963242682541,0.9822952011092093,1.5,1,3,1784929567.4354498,world,workspace,0.47418051624239393,-0.07498176989329002,0.0,0.0,0.18733963242682541,0.9822952011092093,1,1784929567.435601,4.100303888320923,workspace,1,321,,1,1784929571.5334556,0.0024492740631103516,world,pelvis,0.4881455732205918,-0.08873231438113639,0.783116941570175,0.004694323920607649,-0.011379529578521109,0.23545972077699134,0.9718061481186057,capsules,0.05,0.5,0.1,0.5,0.5
5,1784929571.6356423,0.6062907511368394,1,1784929571.6351314,0.0005109310150146484,17,0.01778597943484783,1,-0.15768955647945404,1,0.013289275579154491,1,-0.16673685610294342,1,0.34339627623558044,1,-0.4216487407684326,1,-0.09710224717855453,1,0.3743121027946472,1,-0.36735543608665466,1,0.1257646530866623,1,-0.14030198752880096,1,-0.09646552801132202,1,-0.0009638875490054488,1,-0.03725384548306465,1,-0.12526236474514008,1,-0.014509407803416252,1,0.036202069371938705,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784929571.633458,0.0021843910217285156,world,base_footprint,0.4984328016523988,-0.08182688019313192,1,0,1,1784929567.4354498,4.200192451477051,world,workspace,1,0,3,0.47418051624239393,-0.07498176989329002,0.0,0.0,0.0,0.18733963242682541,0.9822952011092093,1.5,1,3,1784929567.4354498,world,workspace,0.47418051624239393,-0.07498176989329002,0.0,0.0,0.18733963242682541,0.9822952011092093,1,1784929567.435601,4.2000412940979,workspace,1,321,,1,1784929571.6334581,0.002184152603149414,world,pelvis,0.4906376379808834,-0.08707175995268263,0.7829875816999022,0.002068933775342925,-0.005621909019050931,0.23734081055678657,0.9714079746925399,capsules,0.05,0.5,0.1,0.5,0.5
6,1784929571.7356555,0.7063056584447622,1,1784929571.734544,0.0011115074157714844,17,0.011843354441225529,1,-0.17653630673885345,1,-0.022736603394150734,1,-0.057488664984703064,1,0.29290658235549927,1,-0.23193231225013733,1,-0.11230024695396423,1,0.3759020268917084,1,-0.25238049030303955,1,-0.026819853112101555,1,-0.15635770559310913,1,-0.10828820616006851,1,-0.003665350843220949,1,-0.03731633350253105,1,-0.1285915970802307,1,-0.017534149810671806,1,0.03823090344667435,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784929571.7334583,0.002197265625,world,base_footprint,0.49141249732276376,-0.08354820612153456,1,0,1,1784929567.4354498,4.300205707550049,world,workspace,1,0,3,0.47418051624239393,-0.07498176989329002,0.0,0.0,0.0,0.18733963242682541,0.9822952011092093,1.5,1,3,1784929567.4354498,world,workspace,0.47418051624239393,-0.07498176989329002,0.0,0.0,0.18733963242682541,0.9822952011092093,1,1784929567.435601,4.300054550170898,workspace,1,321,,1,1784929571.734458,0.0011975765228271484,world,pelvis,0.4939027713333945,-0.0807507816088495,0.7830592372215196,-0.0013290396305294292,0.00201468711474632,0.23797431543626088,0.9712684489275523,capsules,0.05,0.5,0.1,0.5,0.5
7,1784929571.8356667,0.8063131012022495,1,1784929571.8334587,0.0022079944610595703,17,0.016623910516500473,1,-0.17442156374454498,1,-0.04480067268013954,1,0.05048605054616928,1,0.2823132276535034,1,-0.022585928440093994,1,-0.1386725902557373,1,0.3378019630908966,1,-0.23096072673797607,1,-0.1128009781241417,1,-0.15874476730823517,1,-0.11119769513607025,1,-0.005158550571650267,1,-0.03792338818311691,1,-0.12449546158313751,1,-0.019329288974404335,1,0.038067616522312164,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784929571.8344562,0.0012104511260986328,world,base_footprint,0.49244011108433366,-0.08204587438688112,1,0,1,1784929567.4354498,4.400216817855835,world,workspace,1,0,3,0.47418051624239393,-0.07498176989329002,0.0,0.0,0.0,0.18733963242682541,0.9822952011092093,1.5,1,3,1784929567.4354498,world,workspace,0.47418051624239393,-0.07498176989329002,0.0,0.0,0.18733963242682541,0.9822952011092093,1,1784929567.435601,4.400065660476685,workspace,1,321,,1,1784929571.8344564,0.0012102127075195312,world,pelvis,0.497444257971487,-0.07563713072585487,0.7826300667975792,-0.003206075629208391,0.004074112183880546,0.23879470807508965,0.9710562342543844,capsules,0.05,0.5,0.1,0.5,0.5
8,1784929571.9356248,0.9062731666490436,1,1784929571.9344323,0.0011925697326660156,17,0.04541041702032089,1,-0.16609473526477814,1,-0.04498562589287758,1,0.12376142293214798,1,0.28034836053848267,1,0.1902618259191513,1,-0.14799824357032776,1,0.31635144352912903,1,-0.23123347759246826,1,-0.15867669880390167,1,-0.18118807673454285,1,-0.11055385321378708,1,-0.0032563460990786552,1,-0.037585679441690445,1,-0.12273810803890228,1,-0.017907507717609406,1,0.038207024335861206,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784929571.9344552,0.0011696815490722656,world,base_footprint,0.49545294525114725,-0.08158025241976978,1,0,1,1784929567.4354498,4.5001749992370605,world,workspace,1,0,3,0.47418051624239393,-0.07498176989329002,0.0,0.0,0.0,0.18733963242682541,0.9822952011092093,1.5,1,3,1784929567.4354498,world,workspace,0.47418051624239393,-0.07498176989329002,0.0,0.0,0.18733963242682541,0.9822952011092093,1,1784929567.435601,4.50002384185791,workspace,1,321,,1,1784929571.9344552,0.0011696815490722656,world,pelvis,0.5006499590575273,-0.07466085081106028,0.7821356015943527,-0.003492176532938787,0.004271870354254155,0.2389569111354622,0.9710144954877543,capsules,0.05,0.5,0.1,0.5,0.5
9,1784929572.035568,1.006213303655386,1,1784929572.0352564,0.0003116130828857422,17,0.07043302804231644,1,-0.1442520171403885,1,-0.024992376565933228,1,0.1655902862548828,1,0.2796596884727478,1,0.3314163088798523,1,-0.16678650677204132,1,0.3124467134475708,1,-0.233753964304924,1,-0.18407267332077026,1,-0.22361043095588684,1,-0.10638865828514099,1,-0.0018082794267684221,1,-0.03963674232363701,1,-0.1156672015786171,1,-0.01726330630481243,1,0.03602820262312889,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1784929572.0344563,0.001111745834350586,world,base_footprint,0.49928279760887784,-0.08080456068529918,1,0,1,1784929567.4354498,4.600118160247803,world,workspace,1,0,3,0.47418051624239393,-0.07498176989329002,0.0,0.0,0.0,0.18733963242682541,0.9822952011092093,1.5,1,3,1784929567.4354498,world,workspace,0.47418051624239393,-0.07498176989329002,0.0,0.0,0.18733963242682541,0.9822952011092093,1,1784929567.435601,4.599967002868652,workspace,1,321,,1,1784929572.0344565,0.0011115074157714844,world,pelvis,0.5012069909778902,-0.07501593540077793,0.782093389566607,-0.003286967415348076,0.002079193496791823,0.2407071006198753,0.9705900084540262,capsules,0.05,0.5,0.1,0.5,0.5
